Subject,Session,Environment,Condition,Version
1,1,Cafe,RIRM,Ver1
1,2,Classroom,RIRM,Ver1
2,1,Classroom,IRMR,Ver1
2,2,Cafe,IRMR,Ver1
3,1,Cafe,MRIR,Ver1
3,2,Classroom,MRIR,Ver1
4,1,Classroom,RIRM,Ver2
4,2,Cafe,RIRM,Ver2
5,1,Cafe,IRMR,Ver2
5,2,Classroom,IRMR,Ver2
6,1,Classroom,MRIR,Ver2
6,2,Cafe,MRIR,Ver2
7,1,Cafe,RIRM,Ver1
7,2,Classroom,RIRM,Ver1
8,1,Classroom,IRMR,Ver1
8,2,Cafe,IRMR,Ver1
9,1,Cafe,MRIR,Ver1
9,2,Classroom,MRIR,Ver1
10,1,Classroom,RIRM,Ver2
10,2,Cafe,RIRM,Ver2
11,1,Cafe,IRMR,Ver2
11,2,Classroom,IRMR,Ver2
12,1,Classroom,MRIR,Ver2
12,2,Cafe,MRIR,Ver2
13,1,Cafe,RIRM,Ver1
13,2,Classroom,RIRM,Ver1
14,1,Classroom,IRMR,Ver1
14,2,Cafe,IRMR,Ver1
15,1,Cafe,MRIR,Ver1
15,2,Classroom,MRIR,Ver1
16,1,Classroom,RIRM,Ver2
16,2,Cafe,RIRM,Ver2
17,1,Cafe,IRMR,Ver2
17,2,Classroom,IRMR,Ver2
18,1,Classroom,MRIR,Ver2
18,2,Cafe,MRIR,Ver2
19,1,Cafe,RIRM,Ver1
19,2,Classroom,RIRM,Ver1
20,1,Classroom,IRMR,Ver1
20,2,Cafe,IRMR,Ver1
21,1,Cafe,MRIR,Ver1
21,2,Classroom,MRIR,Ver1
22,1,Classroom,RIRM,Ver2
22,2,Cafe,RIRM,Ver2
23,1,Cafe,IRMR,Ver2
23,2,Classroom,IRMR,Ver2
24,1,Classroom,MRIR,Ver2
24,2,Cafe,MRIR,Ver2
25,1,Cafe,RIRM,Ver1
25,2,Classroom,RIRM,Ver1
,,,,
,,,,
27,1,Cafe,MRIR,Ver1
27,2,Classroom,MRIR,Ver1
28,1,Classroom,RIRM,Ver2
28,2,Cafe,RIRM,Ver2
29,1,Cafe,IRMR,Ver2
29,2,Classroom,IRMR,Ver2
30,1,Classroom,MRIR,Ver2
30,2,Cafe,MRIR,Ver2
31,1,Cafe,RIRM,Ver1
31,2,Classroom,RIRM,Ver1
32,1,Classroom,IRMR,Ver1
32,2,Cafe,IRMR,Ver1
33,1,Cafe,MRIR,Ver1
33,2,Classroom,MRIR,Ver1
34,1,Classroom,RIRM,Ver2
34,2,Cafe,RIRM,Ver2
35,1,Cafe,IRMR,Ver2
35,2,Classroom,IRMR,Ver2
36,1,Classroom,MRIR,Ver2
36,2,Cafe,MRIR,Ver2
37,1,Cafe,RIRM,Ver1
37,2,Classroom,RIRM,Ver1
38,1,Classroom,MRIR,Ver1
38,2,Cafe,MRIR,Ver1
39,1,Classroom,RIRM,Ver1
39,2,Cafe,RIRM,Ver1
40,1,Cafe,IRMR,Ver2
41,1,Cafe,RIRM,Ver2
41,2,Classroom,RIRM,Ver2
42,1,Cafe,IRMR,Ver1
42,2,Classroom,IRMR,Ver1
43,1,Classroom,IRMR,Ver2
43,2,Cafe,IRMR,Ver2
44,1,Cafe,MRIR,Ver2
44,2,Classroom,MRIR,Ver2
45,1,Classroom,RIRM,Ver1
45,2,Cafe,RIRM,Ver1
46,1,Cafe,RIRM,Ver2
46,2,Classroom,RIRM,Ver2
47,1,Cafe,IRMR,Ver1
47,2,Classroom,IRMR,Ver1
48,1,Classroom,IRMR,Ver2
48,2,Cafe,IRMR,Ver2
49,1,Classroom,MRIR,Ver1
49,2,Cafe,MRIR,Ver1
50,1,Cafe,MRIR,Ver2
50,2,Classroom,MRIR,Ver2
51,1,Classroom,RIRM,Ver1
51,2,Cafe,RIRM,Ver1
52,1,Cafe,RIRM,Ver2
52,2,Classroom,RIRM,Ver2
53,1,Cafe,IRMR,Ver1
53,2,Classroom,IRMR,Ver1
54,1,Classroom,IRMR,Ver2
54,2,Cafe,IRMR,Ver2
55,1,Classroom,MRIR,Ver1
55,2,Cafe,MRIR,Ver1
56,1,Cafe,MRIR,Ver2
56,2,Classroom,MRIR,Ver2
57,1,Classroom,RIRM,Ver1
57,2,Cafe,RIRM,Ver1
58,1,Cafe,RIRM,Ver2
58,2,Classroom,RIRM,Ver2
59,1,Cafe,IRMR,Ver1
59,2,Classroom,IRMR,Ver1
,,,,
61,1,Classroom,IRMR,Ver2
61,2,Cafe,IRMR,Ver2
62,1,Cafe,IRMR,Ver1
62,2,Classroom,IRMR,Ver1
63,1,Classroom,RIRM,Ver1
63,2,Cafe,RIRM,Ver1
64,1,Classroom,MRIR,Ver1
64,2,Cafe,MRIR,Ver1
65,1,Cafe,MRIR,Ver2
65,2,Classroom,MRIR,Ver2
