Subject,Session,Environment,Condition,Version
1,1,Cafe,RIRM,Ver1
2,2,Cafe,IRMR,Ver1
3,1,Cafe,MRIR,Ver1
4,2,Cafe,RIRM,Ver2
5,1,Cafe,IRMR,Ver2
6,2,Cafe,MRIR,Ver2
7,1,Cafe,RIRM,Ver1
8,2,Cafe,IRMR,Ver1
9,1,Cafe,MRIR,Ver1
10,2,Cafe,RIRM,Ver2
11,1,Cafe,IRMR,Ver2
12,2,Cafe,MRIR,Ver2
13,1,Cafe,RIRM,Ver1
14,2,Cafe,IRMR,Ver1
15,1,Cafe,MRIR,Ver1
16,2,Cafe,RIRM,Ver2
17,1,Cafe,IRMR,Ver2
18,2,Cafe,MRIR,Ver2
19,1,Cafe,RIRM,Ver1
20,2,Cafe,IRMR,Ver1
21,1,Cafe,MRIR,Ver1
22,2,Cafe,RIRM,Ver2
23,1,Cafe,IRMR,Ver2
24,2,Cafe,MRIR,Ver2
25,1,Cafe,RIRM,Ver1
27,1,Cafe,MRIR,Ver1
28,2,Cafe,RIRM,Ver2
29,1,Cafe,IRMR,Ver2
30,2,Cafe,MRIR,Ver2
31,1,Cafe,RIRM,Ver1
32,2,Cafe,IRMR,Ver1
33,1,Cafe,MRIR,Ver1
34,2,Cafe,RIRM,Ver2
35,1,Cafe,IRMR,Ver2
36,2,Cafe,MRIR,Ver2
37,1,Cafe,RIRM,Ver1
38,2,Cafe,MRIR,Ver1
39,2,Cafe,RIRM,Ver1
,,,,
41,1,Cafe,RIRM,Ver2
42,1,Cafe,IRMR,Ver1
43,2,Cafe,IRMR,Ver2
44,1,Cafe,MRIR,Ver2
45,2,Cafe,RIRM,Ver1
46,1,Cafe,RIRM,Ver2
47,1,Cafe,IRMR,Ver1
48,2,Cafe,IRMR,Ver2
49,2,Cafe,MRIR,Ver1
50,1,Cafe,MRIR,Ver2
51,2,Cafe,RIRM,Ver1
52,1,Cafe,RIRM,Ver2
53,1,Cafe,IRMR,Ver1
54,2,Cafe,IRMR,Ver2
55,2,Cafe,MRIR,Ver1
56,1,Cafe,MRIR,Ver2
57,2,Cafe,RIRM,Ver1
58,1,Cafe,RIRM,Ver2
59,1,Cafe,IRMR,Ver1
61,2,Cafe,IRMR,Ver2
62,1,Cafe,IRMR,Ver1
63,2,Cafe,RIRM,Ver1
64,2,Cafe,MRIR,Ver1
65,1,Cafe,MRIR,Ver2
